pulse_rate,body_temp,ambient_noise,movement,stress_indicator,user_behavior,spo2,danger
98,100.4226638,74,1,0.671143517,0,96,0
111,100.1250056,30,1,0.358646781,1,98,0
88,102.7670321,75,0,0.254163649,0,99,0
74,102.0672031,78,1,0.295290588,0,88,1
102,101.4839207,36,0,0.322550764,0,87,0
67,100.2381528,57,0,0.848669795,0,94,0
80,100.520507,43,1,0.136621331,0,99,0
98,102.7915318,24,0,0.708910997,0,89,1
117,100.6422055,71,1,0.552819977,1,89,1
78,98.65599509,53,0,0.296510144,0,87,0
82,98.77764103,25,1,0.419780856,0,96,0
70,97.99160163,41,0,0.256206944,0,93,0
70,97.09381844,30,1,0.611513711,1,88,1
83,99.54040888,67,1,0.08159418,1,95,0
112,99.36928911,35,1,0.005184863,0,89,1
95,98.76092905,52,1,0.627894415,1,88,1
99,97.08447894,28,1,0.194273954,0,89,1
83,98.19305442,79,0,0.070940917,0,91,0
62,101.2680517,78,0,0.396783827,1,93,0
81,101.7410532,25,0,0.050768531,0,91,0
112,100.6357598,35,1,0.886617149,1,97,0
61,102.5578053,48,0,0.027616772,1,89,1
83,100.9064622,22,1,0.578864896,0,94,0
103,102.4897581,39,1,0.438474123,0,94,0
89,102.1002315,79,0,0.672026135,1,91,1
97,99.69670404,78,0,0.328152667,0,98,0
61,97.5724607,55,1,0.155041617,0,99,0
119,99.22490951,38,0,0.981840888,0,94,0
80,101.0130475,45,1,0.838933502,1,89,1
92,100.9955341,22,1,0.860404618,1,87,1
71,100.5477867,38,1,0.250251361,0,91,1
117,98.64833076,39,1,0.038834734,1,97,0
81,100.3674606,51,1,0.303265515,1,95,0
103,99.29756125,26,0,0.537082427,1,95,0
84,102.8302726,71,0,0.326651242,1,86,1
108,102.0934829,60,1,0.827869004,1,99,0
86,101.3303771,52,1,0.271542916,0,96,0
118,98.41590952,59,0,0.96525183,0,93,0
101,98.53640994,58,0,0.457265162,0,94,0
87,97.24260154,37,1,0.842023075,1,94,0
119,101.2639773,59,0,0.194380034,1,96,0
75,97.66534492,20,1,0.411353905,0,85,1
74,99.63601901,30,0,0.699512211,1,97,0
106,98.21031521,47,1,0.138353092,0,90,1
110,102.3745816,76,0,0.132745422,0,91,0
103,99.85222134,44,1,0.969536867,0,98,0
114,100.3796534,69,0,0.714595104,1,97,0
111,101.1730965,42,0,0.041067517,1,92,0
116,97.83598873,50,1,0.398820901,0,94,0
62,100.6265043,49,0,0.433520738,0,93,0
96,100.2390465,61,1,0.744042643,0,86,1
110,98.21836735,54,0,0.250860527,0,95,0
66,102.6571214,26,1,0.184333674,1,94,0
80,100.5931928,79,0,0.080872967,1,86,1
68,101.1687096,35,1,0.428314475,0,89,1
98,102.282807,45,0,0.688499901,0,97,0
77,100.7461243,67,1,0.058193596,1,89,1
63,98.77380212,76,0,0.915213728,1,90,1
84,97.63296556,71,1,0.44235223,0,87,1
119,99.73920742,79,1,0.239787359,0,92,0
73,98.31064262,68,1,0.09387329,0,97,0
109,99.49905969,21,0,0.182865997,1,85,1
117,102.2996816,20,1,0.934613997,1,90,1
68,98.94607013,67,0,0.638270594,1,88,1
85,97.73252773,31,1,0.516696257,0,85,1
112,99.13778703,24,0,0.657111329,0,99,0
61,102.4409706,56,1,0.435672899,1,91,1
79,98.6327935,51,0,0.730039317,1,93,0
87,100.8861407,78,0,0.047716128,0,97,0
106,97.00312226,74,1,0.56603721,1,88,1
119,99.11541314,28,0,0.158646448,1,88,1
66,98.82868755,60,0,0.120164648,0,90,0
103,97.98793512,54,1,0.341879667,1,96,0
67,100.2045365,38,0,0.091799066,0,99,0
106,99.90897983,67,0,0.094156988,0,87,0
94,101.1546162,35,0,0.311413309,0,97,0
73,98.616474,22,1,0.979510529,0,96,0
76,98.46475313,39,0,0.17533027,0,90,0
95,98.00974625,43,1,0.017161102,0,91,1
109,98.31258532,73,0,0.763364423,0,95,0
99,100.348612,75,0,0.806912977,1,94,0
63,99.42301703,52,0,0.346304321,0,94,0
61,97.38935348,43,1,0.464673813,0,87,1
65,98.52349248,71,0,0.649773683,1,91,1
113,98.48125638,30,0,0.048058924,1,98,0
101,101.1778256,68,1,0.949145732,1,87,1
63,101.2736235,27,0,0.886680387,0,97,0
113,97.88852158,55,1,0.260893623,1,97,0
88,102.9864429,57,1,0.01530454,0,86,1
77,98.60068609,59,0,0.933436308,0,96,0
85,102.8596897,39,1,0.501039884,0,98,0
103,99.46622208,54,0,0.539377448,0,94,0
93,97.1983044,67,1,0.683963769,1,88,1
69,99.07042749,44,1,0.615851164,1,96,0
95,100.8061081,54,0,0.943891605,0,92,0
73,101.0842327,44,1,0.944251597,0,97,0
90,100.1856075,48,1,0.867198934,0,99,0
107,99.68669899,37,1,0.636403597,1,93,0
74,100.3173585,65,1,0.800949295,0,91,1
67,100.5561803,37,1,0.677168342,0,85,1
